"day","probability"
0.25,0
1,0.359050977664425
2,0.19585316251721
3,0.132153285707411
4,0.0814271064194143
5,0.0573695676977518
6,0.0398195538512776
7,0.0245318987777849
8,0.0223897380138135
9,0.0091994342490143
10,0.0117983573298843
11,0.010231551911786
12,0.00677760985110843
13,0.00563872802027106
14,0.00330412955631676
15,0.00356936804781693
16,0.00310973892213981
17,0.00241032512414948
18,0.00291279913815311
19,0.00293834923569213
20,0.00320988002349689
21,0.002251941899075
22,0.00126229055151058
23,0.00178897001508746
24,0.00103438179892413
25,0.000526395511572254
26,0.000805470812745983
27,0.000821349273567666
28,0.0011558554193689
29,0.000304292776969621
30,0.000932145916866759
31,0.000634403051580911
32,0.00162066637388666
33,0.00132402296174213
34,0.000672153757446061
35,0.00103260320124326
36,0.00103463655689604
37,0
38,1.86264339051533e-18
39,0.00108207740104144
40,0.000732988515301313
41,0.000368965127985324
42,0.000375666083575613
43,9.31321695257664e-19
44,0.000385912743294353
45,0.000389183302376278
46,0.000392377768473593
47,0
48,0
49,6.98491271443248e-19
50,2.32830423814416e-19
51,0
52,4.65660847628832e-19
53,0
54,0
55,0
56,0
57,0
58,0
59,2.32830423814416e-19
60,0
61,0.000439349397814966
62,0
63,0
64,4.65660847628832e-19
65,0
66,0
67,2.32830423814416e-19
68,0
70,0
72,0
75,2.32830423814416e-19
76,0
78,0
79,1.16415211907208e-19
81,1.16415211907208e-19
83,0
84,0
88,3.49245635721624e-19
90,0
98,0
102,1.16415211907208e-19
103,0.000936337722737264
