"day","probability"
0.25,0.0163136872846375
1,0.0754072205975992
2,0.069796699702701
3,0.0776152377110488
4,0.0717402384249989
5,0.067205831933329
6,0.0607422166131297
7,0.0564411900509018
8,0.0470645677445497
9,0.0387210924799399
10,0.0291976420580567
11,0.0289810717722065
12,0.026743047613315
13,0.0275677181771561
14,0.0195798338450635
15,0.021804315475663
16,0.0159051971684351
17,0.0203593257068977
18,0.0203912288636181
19,0.0156568008912166
20,0.0145400117955014
21,0.014569128633351
22,0.0127019878298056
23,0.0114700366342912
24,0.0120563899010393
25,0.00942055958212208
26,0.00705042627261527
27,0.00796609659839163
28,0.00892504156256837
29,0.00763189436280079
30,0.00771249817323597
31,0.00585845757311697
32,0.00455533672318415
33,0.00617100461727023
34,0.00509427173488251
35,0.00406913115283559
36,0.00512934638437666
37,0.00198787437726773
38,0.00352820940974305
39,0.0025291747908649
40,0.00202084910350111
41,0.00280136293442565
42,0.00310188287382261
43,0.00337112517967215
44,0.0030925373355708
45,0.00232635469952357
46,0.00262274204695783
47,0.00234087312739055
48,0.000768652212960623
49,0.00214731603932719
50,0.00160512389705308
51,0.00137041763982627
52,0.000820719037639474
53,0.00139472183625801
54,0.000815449774445841
55,0.000834856700868867
56,0.000548299735318922
57,0.000857313590398035
58,0.000276045773416691
59,0.000275490359645445
60,0.000275007866791202
61,0.00188138509610163
62,0.00101213672708372
63,0.000335240903881814
66,0.000421836650512566
67,0.000420709085439948
68,0.000890480067591894
70,0.000409221086956176
79,0.00038271001302954
81,0.000378096380860627
90,0
