"day","probability"
0.25,0.537863830697823
0.75,0.00150926376101715
1,0.0192024528579996
1.75,0.00060739525960615
2,0.0324433986164402
2.75,0.00121766363759899
3,0.034202245790173
3.75,0.000608159496715047
4,0.0326002030929461
5,0.0383057143356895
5.75,0.000610510885536884
6,0.031498643352558
6.75,0.000613160171795587
7,0.0300443027734902
7.75,0.000307172529305792
8,0.0273539314299757
8.75,0.000612961692366162
9,0.0211541913552446
9.75,0.000308216283817149
10,0.0230320219660092
11,0.0126806236282435
12,0.0136935222106903
12.75,0.000313551492528005
13,0.0130600720718384
14,0.0111041599023942
15,0.00705696933156369
15.75,0.000324311295425326
16,0.00857221758210173
17,0.00780032684919322
18,0.00630480170149446
19,0.00385532860768117
20,0.0048699639567247
21,0.00252263758440727
22,0.00479850257927347
23,0.00335663720980479
23.75,0.000362380850886881
24,0.00282648910039121
25,0.00380693053305639
26,0.00062707111559596
27,0.00486776934506588
28,0.00221272646468007
29,0.00174755770616516
30,0.00193508720573053
31,0.00383022667868645
32,0.00309404130410956
33,0.00199380098633743
34,0.00137398467363592
35,0.000963895057440472
35.75,0.000422929093985243
36,0.00118339100109217
37,0.00083290582867378
38,0.000773991575947378
39,0.000863737958263709
40,0.00128142634843893
41,0.00132382872779787
42,0.00151571943084916
43,0.00145062835260548
45,0.00151615502224815
47,0.000871072996044035
48,0.000593030051928173
52,0.00334875593697601
53,0.000740968232208205
56,0.00115562533437601
58,0.000651063048795771
60,0.000964531729104467
65,0.0024033896659636
72,0.00182288833932515
80,0.0122329343141223
