"day","probability"
0.25,0.421870663336109
0.75,0.00138773244518457
1,0.0319178462392451
1.75,0.000555092978073827
2,0.0510685539827921
2.75,0.000277546489036914
3,0.0621704135442687
3.75,0.000555092978073827
4,0.0599500416319734
4.75,0.000555092978073827
5,0.0560643907854566
5.75,0.000832639467110741
6,0.0432972522897585
6.75,0.000832639467110741
7,0.0369136830419095
7.75,0.000277546489036914
8,0.0313627532611712
8.75,0.000277546489036914
9,0.0252567305023591
10,0.0244240910352484
11,0.0169303358312517
11.75,0.000277546489036914
12,0.0124895920066611
12.75,0.000277546489036914
13,0.0144324174299195
14,0.0135997779628088
15,0.0116569525395504
15.75,0.000277546489036914
16,0.00971412711629198
16.75,0.000277546489036914
17,0.00749375520399667
18,0.00416319733555371
19,0.00555092978073827
20,0.00416319733555371
21,0.00360810435747988
22,0.00527338329170136
23,0.00305301137940605
24,0.00471829031362753
25,0.00388565084651679
26,0.00277546489036914
27,0.00388565084651679
28,0.00111018595614765
29,0.00166527893422148
30,0.00138773244518457
31,0.00249791840133222
32,0.00222037191229531
32.75,0.000277546489036914
33,0.00111018595614765
34,0.000277546489036914
35,0.000277546489036914
36,0.000555092978073827
37,0.000277546489036914
38,0.00111018595614765
39,0.00166527893422148
40,0.000832639467110741
41,0.000832639467110741
43,0.00111018595614765
44,0.000277546489036914
45,0.000555092978073827
46,0.000555092978073827
52,0.000277546489036914
53,0.000277546489036914
56,0.000832639467110741
57,0.000277546489036914
58,0.000277546489036914
59,0.000277546489036914
61,0.000277546489036914
77,0.000277546489036914
89,0.000277546489036914
