org_code,trustname,nat_group,geog_code,add_1,add_2,add_3,add_4,add_5,postcode,open_date,close_date,gor_code,ignore1,ingore2,nhs_region
rtq,2gether_nhs_foundation_trust,y57,q82,rikenel,montpellier,,gloucester,gloucestershire,gl11ly,20020401,NA,j,Q86,11M,south_west
rtv,5_boroughs_partnership_nhs_foundation_trust,y54,q75,hollins_park_hospital,hollins_lane,winwick,warrington,cheshire,wa28wa,20020401,NA,b,Q75,02E,north_west
rem,aintree_university_hospital_nhs_foundation_trust,y54,q75,university_hospital_aintree,fazakerley_hospital,lower_lane,liverpool,merseyside,l97al,19920401,NA,b,Q75,99A,north_west
rcf,airedale_nhs_foundation_trust,y54,q72,airedale_general_hospital,skipton_road,steeton,keighley,west_yorkshire,bd206td,19920401,NA,d,Q72,02N,north_east_and_yorkshire
rbs,alder_hey_children_s_nhs_foundation_trust,y54,q75,alder_hey_hospital,eaton_road,west_derby,liverpool,merseyside,l122ap,19910401,NA,b,Q75,99A,north_west
rtk,ashford_and_st_peter_s_hospitals_nhs_foundation_trust,y57,q81,st_peters_hospital,guildford_road,,chertsey,surrey,kt160pz,19980401,NA,j,Q88,09Y,south_east
rvn,avon_and_wiltshire_mental_health_partnership_nhs_trust,y57,q82,jenner_house,avon_way_langley_park,,chippenham,wiltshire,sn151gg,19990401,NA,j,Q86,99N,south_west
rf4,barking_havering_and_redbridge_university_hospitals_nhs_trust,y56,q71,queens_hospital,rom_valley_way,,romford,essex,rm70ag,20010401,NA,h,Q71,08F,london
rrp,barnet_enfield_and_haringey_mental_health_nhs_trust,y56,q71,trust_headquarters_block_b2,st_ann_s_hospital,st_ann_s_road,london,greater_london,n153th,20010401,NA,h,Q71,08D,london
rff,barnsley_hospital_nhs_foundation_trust,y54,q72,gawber_road,,,barnsley,south_yorkshire,s752ep,19930401,NA,d,Q72,02P,north_east_and_yorkshire
r1h,barts_health_nhs_trust,y56,q71,the_royal_london_hospital,whitechapel,,london,greater_london,e11bb,20120401,NA,h,Q71,08V,london
rdd,basildon_and_thurrock_university_hospitals_nhs_foundation_trust,y55,q79,basildon_hospital,,nethermayne,basildon,essex,ss165nl,19920401,NA,g,Q79,99E,east_of_england
rc1,bedfordshire_hospitals_nhs_foundation_trust,y55,q78,south_wing,kempston_road,,bedford,bedfordshire,mk429dj,19920401,NA,e,Q79,06F,east_of_england
rwx,berkshire_healthcare_nhs_foundation_trust,y57,q82,fitzwilliam_house,skimped_hill_lane,,bracknell,berkshire,rg121bq,20010401,NA,j,Q87,15D,south_east
