"date","geography","value_type","value"
2020-03-19,"East of England","hospital_inc",23
2020-03-19,"England","hospital_inc",586
2020-03-19,"London","hospital_inc",240
2020-03-19,"Midlands","hospital_inc",96
2020-03-19,"North East and Yorkshire","hospital_inc",48
2020-03-19,"North West","hospital_inc",47
2020-03-19,"South East","hospital_inc",103
2020-03-19,"South West","hospital_inc",29
2020-03-19,"East of England","hospital_prev",NA
2020-03-19,"East of England","icu_prev",NA
2020-03-19,"England","hospital_prev",NA
2020-03-19,"England","icu_prev",NA
2020-03-19,"London","hospital_prev",NA
2020-03-19,"London","icu_prev",NA
2020-03-19,"Midlands","hospital_prev",NA
2020-03-19,"Midlands","icu_prev",NA
2020-03-19,"North East and Yorkshire","hospital_prev",NA
2020-03-19,"North East and Yorkshire","icu_prev",NA
2020-03-19,"North West","hospital_prev",NA
2020-03-19,"North West","icu_prev",NA
2020-03-19,"South East","hospital_prev",NA
2020-03-19,"South East","icu_prev",NA
2020-03-19,"South West","hospital_prev",NA
2020-03-19,"South West","icu_prev",NA
2020-03-20,"East of England","hospital_inc",23
2020-03-20,"England","hospital_inc",691
2020-03-20,"London","hospital_inc",272
2020-03-20,"Midlands","hospital_inc",164
2020-03-20,"North East and Yorkshire","hospital_inc",43
2020-03-20,"North West","hospital_inc",56
2020-03-20,"South East","hospital_inc",90
2020-03-20,"South West","hospital_inc",43
2020-03-20,"East of England","hospital_prev",59
2020-03-20,"East of England","icu_prev",NA
2020-03-20,"England","hospital_prev",1580
2020-03-20,"England","icu_prev",NA
2020-03-20,"London","hospital_prev",841
2020-03-20,"London","icu_prev",NA
2020-03-20,"Midlands","hospital_prev",218
2020-03-20,"Midlands","icu_prev",NA
2020-03-20,"North East and Yorkshire","hospital_prev",82
2020-03-20,"North East and Yorkshire","icu_prev",NA
2020-03-20,"North West","hospital_prev",130
2020-03-20,"North West","icu_prev",NA
2020-03-20,"South East","hospital_prev",188
2020-03-20,"South East","icu_prev",NA
2020-03-20,"South West","hospital_prev",62
2020-03-20,"South West","icu_prev",NA
2020-03-21,"East of England","hospital_inc",37
